"Id","SalePrice"
1461,120665.922522797
1462,166990.571630488
1463,188895.906778799
1464,201764.578950959
1465,189820.64086904
1466,173210.113912348
1467,180163.864968842
1468,165118.777801948
1469,193830.474041877
1470,124580.843542417
1471,186595.518905906
1472,97225.8177288986
1473,96929.0363622288
1474,145812.149784164
1475,113013.325360431
1476,365555.982633784
1477,252333.026279822
1478,287762.617373571
1479,287086.426730308
1480,504131.347411004
1481,327103.902906887
1482,209071.434758591
1483,178636.543429919
1484,165075.502319406
1485,181607.586014951
1486,194403.683333651
1487,336342.694147004
1488,238507.944397277
1489,200354.735024188
1490,244890.046672924
1491,194605.43669019
1492,91418.473786794
1493,187840.002684132
1494,286733.439381171
1495,285715.664247422
1496,241809.721746482
1497,182564.534046802
1498,167471.632708009
1499,163401.66642
1500,159039.818033437
1501,184016.158279289
1502,145326.255125053
1503,296383.039283694
1504,240521.153673796
1505,227940.903357654
1506,190385.09982367
1507,257384.147636585
1508,204562.201694328
1509,160972.429791216
1510,145262.670065632
1511,147257.519890862
1512,172666.573823576
1513,148785.22177675
1514,162819.08456469
1515,195132.996801733
1516,154069.265312361
1517,172697.508102086
1518,125871.993468096
1519,219474.244970431
1520,129552.305911319
1521,134919.103983897
1522,175646.85076724
1523,116130.965989483
1524,126489.42404134
1525,124841.358577279
1526,112499.215947758
1527,106564.916158024
1528,136104.499694083
1529,150756.201102063
1530,184928.360754375
1531,108293.072282911
1532,92429.9603437811
1533,148033.125178495
1534,120401.504360913
1535,149779.306202913
1536,108152.063519538
1537,55636.2118415506
1538,164288.078383182
1539,195468.688438798
1540,96399.1068367079
1541,143178.439552456
1542,140475.176081346
1543,195762.383272424
1544,84568.2512222486
1545,115585.374875974
1546,131753.55917164
1547,130088.040740907
1548,136982.89295329
1549,116974.916083615
1550,133113.899295793
1551,105980.171947031
1552,143467.90479955
1553,148055.845936508
1554,120831.61216397
1555,162439.865700585
1556,87872.2472066031
1557,104055.680321931
1558,101896.463996589
1559,73300.3952454987
1560,126971.177922816
1561,136248.833728659
1562,129021.573183261
1563,123293.336116727
1564,158556.879287984
1565,150517.706585034
1566,246330.141407883
1567,78174.0031447109
1568,236158.126066733
1569,132352.788994049
1570,135161.463241099
1571,112928.011676831
1572,143753.951574346
1573,245579.859727243
1574,121566.870134926
1575,230815.285835461
1576,249669.144352759
1577,184097.59515914
1578,148222.847677869
1579,145776.183029954
1580,193142.271009485
1581,159344.158153607
1582,126541.041604839
1583,308679.310289547
1584,218269.766895032
1585,139531.717002928
1586,67202.2213447005
1587,102854.84639201
1588,153064.605881606
1589,99074.5675309186
1590,132160.971193172
1591,93042.7788959409
1592,116716.262456114
1593,124778.171931897
1594,137849.403439278
1595,104391.15455047
1596,220279.35924199
1597,189260.727441307
1598,215318.520825729
1599,167522.185561451
1600,158445.307018607
1601,65066.8530205897
1602,115747.377336504
1603,80928.176290951
1604,262602.364633312
1605,240171.921304852
1606,166501.872597665
1607,167954.520773071
1608,211085.903524344
1609,183241.809091922
1610,153214.765252178
1611,135368.043063109
1612,171470.145955167
1613,166174.981528554
1614,127024.607455531
1615,89980.7460074319
1616,78782.4026887228
1617,93268.4007699173
1618,126442.931718065
1619,145344.250583995
1620,165889.229097659
1621,137457.777134659
1622,141431.040026381
1623,265020.20396874
1624,213759.078504015
1625,119767.03727592
1626,165492.975339945
1627,194168.454071108
1628,285359.477026545
